EGS,depth,abundance
2513078.534,5.462833,0
2574079.668,5.462833,0
2619606.346,5.462833,0.032261
2668681.431,5.462833,0
2682343.65,5.462833,0
2685542.559,5.462833,0
2747546.276,5.462833,0
2753841.356,5.462833,0
2767023.388,5.462833,0
2771219.438,5.462833,0
2809718.454,5.462833,0
2830993.086,5.462833,0
2858941.74,5.462833,0
2864053.967,5.462833,0
2940986.313,5.462833,0
3025893.012,5.462833,0
3026862.426,5.462833,0
3050960.914,5.462833,0
3085403.84,5.462833,0
3102292.802,5.462833,0
3121343.262,5.462833,0
3212921.417,5.462833,0
3218649.902,5.462833,0
3225545.974,5.462833,0
3227979.239,5.462833,0
3230990.39,5.462833,0
3249700.061,5.462833,0
3279444.745,5.462833,0
3283377.718,5.462833,0
3302820.946,5.462833,0
3323799.438,5.462833,0
3328549.319,5.462833,0
3350842.25,5.462833,0
3356059.688,5.462833,0
3410299.178,5.462833,0
3412188.491,5.462833,0
